state,state_code,county_code,county,date,timezone,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage,f_scale,length,width,latitude,longitude
ALABAMA,1,75,LAMAR,30-JAN-13 04:33:00,CST-6,0,0,0,0,0.00K,EF1,3.83,300,33.87,-88.23
ALABAMA,1,57,FAYETTE,30-JAN-13 05:18:00,CST-6,0,0,0,0,0.00K,EF1,6.5,500,33.73,-87.9
ALABAMA,1,127,WALKER,30-JAN-13 05:42:00,CST-6,0,0,0,0,0.00K,EF0,4.9,200,33.93,-87.5
ALABAMA,1,133,WINSTON,30-JAN-13 05:50:00,CST-6,0,0,0,0,0.00K,EF1,10.39,1000,34.06,-87.37
ALABAMA,1,133,WINSTON,30-JAN-13 06:01:00,CST-6,0,0,0,0,0.00K,EF1,4.2,300,34.21,-87.18
ALABAMA,1,43,CULLMAN,30-JAN-13 06:04:00,CST-6,0,0,0,0,50.00K,EF1,2.22,300,34.23,-87.11
ALABAMA,1,129,WASHINGTON,10-FEB-13 17:00:00,CST-6,0,0,0,0,30.00K,EF1,6.5,200,31.54,-88.16
ALABAMA,1,25,CLARKE,10-FEB-13 17:10:00,CST-6,0,0,0,0,30.00K,EF1,7.75,200,31.59,-88.06
ALABAMA,1,25,CLARKE,10-FEB-13 17:26:00,CST-6,0,0,0,0,10.00K,EF1,0.91,80,31.62,-87.85
ALABAMA,1,33,COLBERT,18-MAR-13 13:10:00,CST-6,0,0,0,0,,EF0,1.6,100,34.73,-87.5
ALABAMA,1,95,MARSHALL,18-MAR-13 14:41:00,CST-6,0,0,0,0,,EF0,2.68,300,34.2,-86.15
ALABAMA,1,95,MARSHALL,18-MAR-13 14:41:00,CST-6,0,0,0,0,,EF1,1.43,160,34.27,-86.13
ALABAMA,1,49,DEKALB,18-MAR-13 14:43:00,CST-6,0,0,0,0,,EF2,5.95,350,34.46,-85.99
ALABAMA,1,49,DEKALB,18-MAR-13 14:43:00,CST-6,7,0,0,0,,EF2,2.78,220,34.27,-86.11
ALABAMA,1,55,ETOWAH,18-MAR-13 14:43:00,CST-6,3,0,0,0,0.00K,EF1,5.27,300,34.2,-86.11
ALABAMA,1,107,PICKENS,11-APR-13 11:48:00,CST-6,0,0,0,0,0.00K,EF1,12.37,1050,33.27,-88.31
ALABAMA,1,127,WALKER,11-APR-13 13:45:00,CST-6,0,0,0,0,0.00K,EF1,5.49,500,33.92,-87.54
ALABAMA,1,133,WINSTON,11-APR-13 13:57:00,CST-6,0,0,0,0,0.00K,EF1,2.63,250,34.01,-87.43
ALABAMA,1,133,WINSTON,11-APR-13 14:10:00,CST-6,0,0,0,0,0.00K,EF1,1.17,300,34.14,-87.32
ALABAMA,1,133,WINSTON,11-APR-13 14:26:00,CST-6,1,0,0,0,0.00K,EF1,0.38,50,34.19,-87.12
ALABAMA,1,7,BIBB,11-APR-13 15:18:00,CST-6,0,0,0,0,0.00K,EF1,20.16,800,32.85,-87.17
ALABAMA,1,89,MADISON,11-APR-13 15:20:00,CST-6,0,0,0,0,,EF1,6.58,300,34.61,-86.64
ALABAMA,1,89,MADISON,11-APR-13 15:32:00,CST-6,0,0,0,0,,EF1,1.34,75,34.7,-86.5
ALABAMA,1,97,MOBILE,11-APR-13 16:29:00,CST-6,0,0,0,0,1.50M,EF1,0.81,75,30.51,-88.15
